Title,pname,Body (HTML),category,PROD CODE,Variant SKU,Variant Grams,SHIPPING CHARGES,Cost per item,HSN,GST,image-1,image-2,image-3,image-4,image-5,image-6,image-7,image-8,image-9,image-10,image-11,PUR RATE,GST-1,PROFIT,GST DIF,PROMO,TOTAL,DISCOUNT,MRP,SELLING RATE WITH GST,SELLING RATE WITHOUT GST
0116 Hand Press Water Pump Dispenser,Hand Press Water Pump Dispenser,"<strong>Hand Press Manual Water Pump Dispenser</strong><br><br>Manual Water Pump instant access to fresh, room temperature water. The pumps simple design provides enhanced durability and its small size makes it easy to carry and place anywhere. Manual Water Pump uses 3-5-gallon bottles, which reduce waste from single-serve bottles and filters. Perfect for use with great-tasting Water<br><br><strong>ADJUSTABLE DEPTH</strong><br><br>Adjustable and bendable tube system<br>3 upper supply pumps for different bottles sizes (Small / Medium / Large)<br><br><strong>Hygiene</strong><br>New fastner design keep all the working parts inside<br>Discharge spout with a sanitary cap to keep unwanted germs away<br><br><strong>Go Green</strong><br>Manually operated<br>BPA material (Non-Toxic Plastic / No Bisphenola-A / No Phthalates)<br><br><strong>How to use:</strong><br>
<ol>
<li>Clean the pump and tubes, boiled water for 3 minutes would be best.</li>
<li>Connect the tubes, 2 or 3 ones according to the height of your water jug.</li>
<li>Connect the tubes and the pump,and push the pump to neck of the bottle.</li>
<li>Adjust the locking nut to tighten to secure pump to bottle and create a proper vacuum.</li>
</ol>
<p><strong>FEATURES &amp; BENEFITS</strong></p>
<ol>
<li>Soft, Gentle press system making it Comfortable for elders &amp; kids</li>
<li>BPA Food grade Virgin Plastic ensures safe Drinking water</li>
<li>Adjustable Neck settings allows it to fit on standard Bubbletop cans</li>
<li>Easy to assemble &amp; Quick to clean</li>
<li>Anti-dirt &amp; Anti-splash cap for nozzles assuring hygiene quotient</li>
<li>No more lifting of Water Cans/ Fix it directly on cans</li>
</ol>
<p><strong>APPLICATION: </strong>Ideal choice for water dispensing in Home, Office, Schools, Hospitals .,<br>No more heavy lifting of water cans for clean &amp; safe drinking water dispensing<br><br></p>
<ul>
<li>Unique fastener reduces the amount of germs that could contaminate your water. Adjustable n bendable tubes system helps pump to adapt to each size and also allows you to completely empty the bottle</li>
<li>Food safe: with the combination of bpa less food grade plastic materials, its soft/gentle press system is comfy even for elders and kids to get safe drinking water from bubble-top cans</li>
<li>Versatile: adjustable neck settings allows it to fit onto standard 20l water cans making it easy to assemble and quick to be cleaned</li>
<li>Hygienic: anti-dirt and anti-splash cap can be closed onto the nozzle to secure the when not in use. Cleaning is a breeze with the included tube brush so that you can use the manual pump again and again with no worries of bacteria buildup and contamination</li>
<li>Portable, use anywhere pump, with no motor or battery requirements.100% manual use and hassle-less installment</li>
</ul>
<span style=""margin: 0px auto; border: 2px dotted #000000; position: absolute; z-index: 2147483647; visibility: hidden; left: 159px; width: 0px; top: 92px; height: 0px;""></span><span style=""z-index: 2147483647; position: absolute; visibility: hidden; left: 144px; width: 50px; top: 77px; height: 20px; font-size: 10px; color: black;""></span>",Kitchen,0116,0116_water_dis_pump,292,42,53,392690,5,https://cdn.shopify.com/s/files/1/1916/9825/products/0116.jpg?v=1617924256,https://cdn.shopify.com/s/files/1/1916/9825/products/2_aace0d6e-df7f-41f4-94b3-242a994fcd7a.jpg?v=1617776686,https://cdn.shopify.com/s/files/1/1916/9825/products/4_93c6e4db-22b9-40d7-aee9-dc8aa641c13e.jpg?v=1617776686,shopify,https://cdn.shopify.com/s/files/1/1916/9825/products/23_b0e938eb-2474-48e7-b8a3-bffc3a4cc32c.jpg?v=1617776686,https://cdn.shopify.com/s/files/1/1916/9825/products/3_15d0d8af-09a9-41cd-a5ec-0b6762172f32.jpg?v=1617776686,https://cdn.shopify.com/s/files/1/1916/9825/products/4_6e34af2a-66f2-4871-a46c-9433c2be9b38.jpg?v=1617776686,https://cdn.shopify.com/s/files/1/1916/9825/products/5_a5e3c207-cedf-43e1-b118-ec7c631cd497.jpg?v=1617776686,https://cdn.shopify.com/s/files/1/1916/9825/products/2_6733e0d1-8184-43d9-afc3-0c05a770ef40.jpg?v=1617776686,https://cdn.shopify.com/s/files/1/1916/9825/products/1_d781666b-9c2d-409d-bb2a-f471eea3731d.jpg?v=1617776686,0,95,17,50,17,10,189,10,208,187,178
1179 Multipurpose Portable Folding Plastic Bag,Multipurpose Portable Folding Plastic Bag,"<p><strong>Multipurpose Portable Plastic Folding Storage Basket, Toiletries Sundries Organizer Basket</strong></p>
<p>Store makeup brushes, eye shadow, lipstick, nail polish, and more. The built-in handle makes moving in and out of cabinets simple and easy. </p>
<p>? You can sort out all kinds of home and kitchen supplies, fruit, vegetable, tableware, stationery, cosmetics, socks, undergarments </p>
<p>? It's very flexible, which prevents from breaking. organize bathroom cabinets and drawers. </p>
<p>? Can store books, paint, tools, clothes, toys, groceries, kitchen and bathing accessories, durable and light weight, easily portable</p>
<p><br></p>
<p>? <strong>Perfect for Everyday Use</strong></p>
<p>Whether storing items for your kids or yourself, Toiletries Organizer Basket are designed for exceptional durability, keeping all your small and large items secure.</p>
<p><strong>? Stackable and Collapsible</strong></p>
<p>Toiletries Organizer Basket are ideal for storage and organization whether it's in your garage, home, office, or trunk. Their interlocking design allows you to stack them neatly when they're full and when they're collapsed.</p>
<p><strong>? Tidy Up Your Space</strong></p>
<p>offer stable, structured organization and storage for your car, home, garage and office. Unlike other storage crates, the hinged-frame design saves space by collapsing down when not in use.</p>
<p><strong>? Use Anytime, Anywhere</strong></p>
<p>Active families will appreciate the on-demand function of Clever Crates. Snap them open and load them up with all your needs whether it's camping supplies, sporting equipment, toys, or gardening tools.</p>
<p><br></p>
<p><strong>? Specifications</strong></p>
<p>? Size: 23*9*23cm</p>
<p>? Material: plastic</p>
<p>? Multi-Utility Baskets: Store anything and everything, from fruits, vegetables, pantry items , toiletries , beauty products, school supplies and more.</p>","Kitchen Storage, Container & Rack",1179,1179_Plastic_Folding_Bag,400,42,31,3924,18,https://cdn.shopify.com/s/files/1/1916/9825/products/1179_720f24a7-071c-4ea9-bb27-95222dcad73c.jpg?v=1626365234,https://cdn.shopify.com/s/files/1/1916/9825/products/dsb15-ds-sales-original-imafypkq8nz7tehy_f8b4041e-5f75-43fc-ad3e-670bc4736e4d.jpg?v=1626365235,https://cdn.shopify.com/s/files/1/1916/9825/products/dsb15-ds-sales-original-imafz836rzj9grgz_1_22b55249-c5df-4636-99e3-bdbe14decfba.jpg?v=1626365237,shopify,https://cdn.shopify.com/s/files/1/1916/9825/products/dsa98-ds-sales-original-imafz3ythvyhh96e_7869e09b-c508-4274-8f79-7e4e171c2ed3.jpg?v=1626365241,0,0,0,0,0,0,73,13,50,13,10,159,10,175,158,134
2346 Oil Dispenser Transparent Plastic Oil Bottle |Clear 1 Liter,Oil Dispenser Transparent Plastic Oil Bottle |Clear 1 Liter,"<p><strong>? Unbreakable Transparent Bottle Oil and Vinegar Dispenser ? </strong><br><strong>? Capacity:</strong> 1 Litre</p>
<p>Oil and Vinegar bottle/Dispenser, featuring a crystal clear enclosure, airtight bottle stoppers, and pouring spouts with lever-release snap lids. Pourer allows for easy, controlled pouring and prevents messy spills. Dishwasher-safe for convenient cleaning. Classic and elegant restaurant look fits any respectable kitchen or restaurant, excellent for use with liquid beverages, ingredients, oil, vinegar, and much more. </p>
<p> </p>
<p><strong>? Airtight and non-drip bottle stoppers</strong><br>The oil and vinegar cruet features airtight bottle stoppers to keep content fresh, and pouring spouts with lever-release snap lids for controlled pouring.</p>
<p> </p>
<p><strong>? Food Grade Quality</strong><br>Made of BPA free, lead free glass which makes it absolutely safe for health. It is Odorless so no worries about imparting any odor to oil or spices inside</p>
<p> </p>
<p><strong>? Controlled Pouring</strong><br>A healthy choice as it gives you complete control over how much oil, vinegar dressing you want on your salad. Olive oil dispenser bottle pours without any mess and has an extra spout for long life</p>
<p> </p>
<p><strong>? Snug Fit Spout</strong><br>No more spills or splashes. Unlike bottle with cheap quality spout, glass oil bottle has tight seal spout does not come off when bottle is tilted for pouring</p>
<p> </p>
<p><strong>? Efficent Grip</strong><br>Cooking oil container is anti-slip and has adequate size that let fingers put over it easily for a comfortable grasp of hands. 12-inches bottle is nice, compact to be kept at table or carry for picnic</p>
<p> </p>
<p><strong>? Durable</strong><br>This olive oil bottle has rust proof spout and solid one-piece glass making that is shatter proof, does not crack upon routine use and will serve you for long</p>",Kitchen Tools,2346,2346_Oil_Dispenser_1Ltr,442,42,55,3924,18,https://cdn.shopify.com/s/files/1/1916/9825/products/2346_db839db2-e715-4ae3-a30f-2639a4542633.jpg?v=1638418938,https://cdn.shopify.com/s/files/1/1916/9825/products/01_b9234ad9-5d8d-48df-80d9-a956f4a38746.jpg?v=1638418938,https://cdn.shopify.com/s/files/1/1916/9825/products/02_dc0050a0-a97c-4ebc-bd5e-a23e6d48ce32.jpg?v=1638418938,shopify,https://cdn.shopify.com/s/files/1/1916/9825/products/04_4d0ab059-9374-48f5-86ce-0c8fe6dd2a03.jpg?v=1638418938,https://cdn.shopify.com/s/files/1/1916/9825/products/05_ae74c29c-8148-4791-9ce0-30f742fc013e.jpg?v=1638418938,https://cdn.shopify.com/s/files/1/1916/9825/products/06_93f971fc-8bed-4b8a-91fa-2b2c7390f79e.jpg?v=1638418939,https://cdn.shopify.com/s/files/1/1916/9825/products/9dca601d-64e7-4bc3-b495-5ba3fd30caf7.jpg?v=1641019279,0,0,0,97,17,50,17,10,192,10,211,190,161
2347 Unbreakable Plastic Diamond Design Drinking Glass (Pack of 6) (Brown Box Pack),Unbreakable Plastic Diamond Design Drinking Glass (Pack of 6) (Brown Box Pack),"<p><strong>? Unbreakable Clear Plastic Drinking Water/Juice/Fiber Glass Set ? </strong><br><strong>? Quantity</strong>- 6 pcs <br><strong>? Size:</strong> 300 ml</p>
<p><strong>? Unbreakable Drinking Glasses, The Best Choice For you ! ? </strong></p>
<p>? <strong>BPA-free</strong> We are committed to using only the best BPA-free, food safe materials to create products you can feel good about using every day.</p>
<p>? E<strong>ASILY STORED</strong> Tumblers are designed with a slightly dappled interior that enables stacking with no subsequent sticking when separating them for use. No more fighting with a stubborn stack of cups whenever your kids want a drink!</p>","Kitchen Storage, Container & Rack",2347,2347_Brown_Box_Glass_6pc,582,84,79,3924,18,https://cdn.shopify.com/s/files/1/1916/9825/products/2347.jpg?v=1628791980,https://cdn.shopify.com/s/files/1/1916/9825/products/02_a4aececd-d61f-43fe-b290-99f513f00823.jpg?v=1628791983,https://cdn.shopify.com/s/files/1/1916/9825/products/01_908288f9-fcd4-47c0-b7f5-eb698e945660.jpg?v=1628791985,shopify,https://cdn.shopify.com/s/files/1/1916/9825/products/02_c10edb8c-3173-4a81-9505-096c41def504.jpg?v=1628791989,https://cdn.shopify.com/s/files/1/1916/9825/products/03_62400a99-d9c6-47f0-a031-52d971f06958.jpg?v=1628791991,0,0,0,0,0,163,29,50,29,10,282,10,310,279,236
1193 Mens Leather Wallet/Leather Wallet for Men,Mens Leather Wallet/Leather Wallet for Men,"<p><strong>♥ High Quality Leather Wallet for Men ♥</strong> </p>
<p>A wallet should be contemporary, masculine and durable. Crafted with top grained genuine leather, tough stitching. Hand Made by professional artisans, beautifully crafted wallet that will only get better with age. This WildHorn wallets looks great, offers a slim, lightweight design, and goes great with jeans or a suit.</p>
<p> </p>
<p><strong>♥ Stay Organised</strong><br>Our wallets are designed in such a way that when you are travelling you are totally organised by keeping sufficient credit cards/ Debit card, id, Bank Notes and extra slip pockets for some small notes.</p>
<p> </p>
<p><strong>♥ High Quality Material</strong><br>Our wallets are created from premium quality leather ensuring long lasting use. This wallet is made with soft leather that is both elegant and durable.</p>
<p> </p>
<p><strong>♥ Convenient to Keep</strong><br>Convenient to carry and keep. The wallet is easy to carry, you can hold it in your hand naturally. It can not only quickly access for your favorite cards but also meet your daily needs.</p>
<p> </p>
<p><strong>♥ Gifting Happiness</strong><br>It will be presented in an appealing gift box, making it as a ideal gift. Gifting is known to be one of the five languages of love. There is no individual in this world who does not feel the love and affection of the sender when they receive a gift.</p>","Beauty, Health & Personal Care",1193,1193_Men_Leather_Wallet,65,42,40,4202,18,https://cdn.shopify.com/s/files/1/1916/9825/products/193.jpg?v=1619722955,https://cdn.shopify.com/s/files/1/1916/9825/products/06_02fb7eb4-0432-4c6d-8e10-b9eefbad06aa.jpg?v=1619722957,https://cdn.shopify.com/s/files/1/1916/9825/products/02_660dea0b-f5a0-44d4-b6cb-9c957854b3c7.jpg?v=1619722959,shopify,https://cdn.shopify.com/s/files/1/1916/9825/products/04_820884dd-e8f0-466a-b992-058d2b694d9e.jpg?v=1619722963,https://cdn.shopify.com/s/files/1/1916/9825/products/05_950d83c3-bfd7-48c2-b089-88a6e596f2de.jpg?v=1619722965,https://cdn.shopify.com/s/files/1/1916/9825/products/01_b8ceac53-da10-4f20-a710-3c05cd3f3582.jpg?v=1619722968,0,0,0,0,82,15,50,15,10,172,10,189,170,144
2330 Stainless Steel Salad Vegetable Potato Chips Cutter Chopper,Stainless Steel Salad Vegetable Potato Chips Cutter Chopper,"<p><strong>? Stainless Steel, Iron, Plastic Wafer Maker/vegetable Cutter/vegetable And Fruit Slicer/potato Slicer/vegetable Slicer ?</strong> </p>
<p>Wafer Maker is suitable for Vegetable Cuttings. Wafer Maker consist Hard Coated Iron Wheel and Stand. This wafer Maker is Easy Vegetable Hand Cutter. Easy to Operate. Primelife Wafer maker makes hassel free task to make potato chips and other vegetable slicing. Sharp and strong Blade easy to handle and user friendly design made for easy washable stainless steel and plastic equipment</p>
<p>This wafer maker consist hard coated iron wheel and stand. This is very easy vegetable hand cutter tool. It is very easy to use and very helpful to make potato and other vegetable slices. Easy to use and wash.</p>
<p><strong>? Features</strong></p>
<p>? Easy to use, helps you to slice potatoes, cucumber, onions, tomatoes etc.<br>? No electric power required to operate.<br>? Easy and fast with less effort and perfection gives you each slice same wick look perfect.<br>? Material: Stainless steel Blade, Adjustable Slice Cutting Lock<br>? The perfect staple in your kitchen</p>",Kitchen,2330,2330_SS_Salad_Cutter,1610,168,397,7220,18,https://cdn.shopify.com/s/files/1/1916/9825/products/2330.jpg?v=1619126327,https://cdn.shopify.com/s/files/1/1916/9825/products/01_343c6cd6-28ef-4a8b-961a-8833d90dce27.jpg?v=1619126328,https://cdn.shopify.com/s/files/1/1916/9825/products/02_86c117ec-9709-46c2-99f9-8db4b6edd1f4.jpg?v=1619126330,shopify,https://cdn.shopify.com/s/files/1/1916/9825/products/04_bef5d329-8a32-464b-90b8-6935442bbe21.jpg?v=1619126334,https://cdn.shopify.com/s/files/1/1916/9825/products/05_98ff7414-fe96-45d2-8924-58ac1708c221.jpg?v=1619126335,0,0,0,0,0,565,102,50,102,10,828,10,911,820,695
"2414 Portable Mini Gas Travelling Stove, Small Gas Stove","Portable Mini Gas Travelling Stove, Small Gas Stove","<p><strong>?? Outdoor Portable Square-Shaped Gas Butane Burner Camping Picnic Folding Stove ??</strong></p>
<p>The item is a camping gas stove which is perfectly suitable for outdoor travelers and camping enthusiasts. With new and simple design, it is easy to use and reliable for camping. The firepower is big and powerful, calorific efficiency is high that can heat your food in several minutes. With easy to operate and convenient to carry, it is widely used in the outdoors, perfect for short camping trips, picnics or hiking.</p>
<p> </p>
<p><strong>?? Features</strong></p>
<p>? Easy to use, reliable stove for camping,<br>? This butane gas stove features lightweight and portable design<br>? Perfect for short camping trips, picnics or hiking - Safe shut-off system<br>? It is an effective assistant for travelling<br>? Can be directly connected with the long gas tank, easy to use<br>? General availability is easy to be suitable to the gas jar of all kinds<br>? Powerful firepower, high combustion efficiency<br>? Easy burner control using built in flame adjuster, can accurately adjust the small fire.<br>? Can be directly connected with the long gas tank, easy to use</p>
<p> </p>
<p><strong>?? Specifications</strong></p>
<p>? Material: Stainless Steel + Iron<br>? Fuel: Butane / Propane Gas(not included)<br>? Power: 2800W<br>? Gas consumption: 90g/h<br>? Ignition: Piezoelectric Ignition<br>? Unfolded Size: 22.5 * 9.5cm / 8.9 * 3.7in (D * H)<br>? Folding Size: 11 * 10.5 * 9cm / 4.3 * 4.1 * 3.5in<br>? Application Method: Manual<br>? Applicable Seasoning Type: Liquid Seasoning<br>? Usage Condition: Normal Outdoor<br>? Product Weight: 310 Gram<br>? Package weight: 0.498 kg<br>? Package Size(L x W x H): 11.00 x 11.50 x 9.50 cm</p>",Kitchen,2414,2414_Portable_Stove,390,42,346,7321,18,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_d4be8682-b29c-4afa-9a68-d4ada2214200.jpg?v=1623953220,https://cdn.shopify.com/s/files/1/1916/9825/products/5fa91556df31bd1860d15484-large.jpg?v=1623953222,https://cdn.shopify.com/s/files/1/1916/9825/products/5fa91556df31bd1860d15484-10-large.jpg?v=1623953224,shopify,https://cdn.shopify.com/s/files/1/1916/9825/products/5fa91556df31bd1860d15484-6-large.jpg?v=1623953229,https://cdn.shopify.com/s/files/1/1916/9825/products/5fa91556df31bd1860d15484-4-large.jpg?v=1623953231,https://cdn.shopify.com/s/files/1/1916/9825/products/5fa91556df31bd1860d15484-3-large.jpg?v=1623953234,https://cdn.shopify.com/s/files/1/1916/9825/products/5f8504fda7718f00403a218b-7-large.jpg?v=1623953236,https://cdn.shopify.com/s/files/1/1916/9825/products/5f8504fda7718f00403a218b-2-large.jpg?v=1623953238,0,0,388,70,50,70,10,588,10,646,582,493
1401 Bathroom Accessories Folding Towel Rack,Bathroom Accessories Folding Towel Rack,"<p><strong>? Bathroom Innovative Accessories Stainless Steel Plastic Folding Towel Rack/Holder/Bar ? </strong><br><strong>? Size -</strong> 24 inches</p>
<p>It is a simple, beautiful and practical towel rack hanger, which is made of durable stainless steel materials. With the included installation parts, you can easily install the towel rack on the wall to save space.</p>
<p>Our convenient storage unit features a strong top shelf that provides plenty of room for toiletries, cleaning supplies or spare towels. Paired with a series of hooks for pajamas or your bathrobe, it instantly organizes your bathroom and reduces clutter.</p>
<p> </p>
<p><strong>? Material</strong><br>Constructed of high premium stainless steel material makes it rustproof, corrosion resistant and Heavy Duty. Chrome Finish creates a simple but elegant look.</p>
<p> </p>
<p><strong>? Simple Design</strong><br>Unique round shape and Towel rod with sliding hooks add more modern elements for your room decor, rounded edges protect your body from scratching.</p>
<p> </p>
<p><strong>? Beautiful</strong><br>Modern look, concealed screws design. makes it both modern and clean looking.</p>
<p> </p>
<p><strong>? Stylish and Space Saving</strong><br>The top section folds back and stays against the wall .The top part fold up and down and the bottom party is fixed in one position it has some hooks in it !</p>
<p> </p>
<p><strong>? Why Choose Our Bathroom Storage Unit?</strong></p>
<p>? Instantly increases storage space<br>? The versatile look matches any décor<br>? Easy to Installs<br>? Made with durable stainless steel</p>",Home Improvement,1401,1401_Folding_Towel_Rack,2730,252,389,7324,18,https://cdn.shopify.com/s/files/1/1916/9825/products/1401.jpg?v=1619722983,https://cdn.shopify.com/s/files/1/1916/9825/products/02_d52572d3-e343-40c3-a976-ef4d3345f5cd.jpg?v=1619722985,https://cdn.shopify.com/s/files/1/1916/9825/products/product-jpeg-500x500.jpg?v=1619722987,shopify,https://cdn.shopify.com/s/files/1/1916/9825/products/03_f1511453-2f3e-4cfb-aa03-7d92250de1c1.jpg?v=1619722991,0,0,0,0,0,0,641,115,50,115,10,932,10,1025,922,782
7202 Hangers with 2-Adjustable Anti-Rust Clips (Pack of 12),Hangers with 2-Adjustable Anti-Rust Clips (Pack of 12),"<p><strong>? Stainless Steel 2-Adjustable Non Slip Clip Hanger ?</strong><br><strong>- 12 pcs</strong></p>
<p> </p>
<p><strong>? Top quality metal material</strong></p>
<p>Clip Hanger is made of excellent Stainless Steel material. It is more durable than wooden or plastic pant hangers.</p>
<p> </p>
<p><strong>? Superior Grasping Force</strong></p>
<p>The grasping force of metal clips is very powerful. It can catch the thin clothing even silky pants. It is unnecessary to worry about that your clothes will fall from the clip down. The black rubber coat of the clips is designed to increase the friction and prevent leaving a scar on your clothes, how intimate design!</p>
<p> </p>
<p><strong>? Excellent Design and Slack Hangers</strong></p>
<p>Clips adjustable slide widths can basically of meeting the different sizes and styles needs.The stainless steel metal skirt hangers clips can be freely adjusted according to the size of your pants, you can freely hang all ages and different sizes of pants skirts whatever it is children's clothing or adult's clothes.</p>
<p> </p>
<p><strong>? Super Space Saving</strong></p>
<p>The 360-degree stainless steel swivel hook metal pants hangers means you can turn your garment round without moving the whole hanger,use convenientand and Wardrobe Tidy. Ultra thin metal structure Children hangers design helps to save more space for your closet and make the wardrobe look more tidy.</p>
<p> </p>
<p><strong>? High Quality Hangers</strong></p>
<p>12 pack of sturdy stainless steel skirt hangers with 2 non slip clips adjustable are made of metal stainless steel hangers and chrome plated process with superior bearing ability, robust and easy to use, prevents rust resists breakage.</p>",Home Improvement,7202,7202_SS_Clip_Hanger_12Pc,965,84,179,7326,12,https://cdn.shopify.com/s/files/1/1916/9825/products/7202.jpg?v=1617924946,https://cdn.shopify.com/s/files/1/1916/9825/products/21DslzTbS4L.jpg?v=1617924948,https://cdn.shopify.com/s/files/1/1916/9825/products/41pYUg0YUAL.jpg?v=1617924950,shopify,https://cdn.shopify.com/s/files/1/1916/9825/products/31580jFpfRL.jpg?v=1617924953,https://cdn.shopify.com/s/files/1/1916/9825/products/41ahy0_2KXL.jpg?v=1617924955,0,0,0,0,0,263,47,50,47,10,418,10,459,414,369
1635 Jet Water Cannon 8 in 1 Turbo Water Spray Gun,Jet Water Cannon 8 in 1 Turbo Water Spray Gun,"<p><strong>? Gardening/Washing Multi-Function 8 in 1 Turbo Water Spray Gun, Home Cleaning Spray with Built-in Soap Dispenser ? </strong></p>
<p>Washing away dirt from your car or house will not be an task anymore with Speedwav EZ Car 8 in1 Multifunctional Pressure Washing Water Spray Jet Cannon which will help you deeply remove dirt from any part of the car or house.</p>
<p>It has 8 different spray features which not only helps you clean areas with high water pressure but will also help you spray water on plants with wise spray angle Its built in soap dispenser helps you clean your car, bike, house floor etc easily with soap spray and on the same time you can remove the soap sprayed from them with just swtiching the controller to middle only water rinse mode</p>
<p><strong>? Easy to use</strong> Handle to turns unit on and off Light weighted portable gun for easy storeage 8 way adjustable spray nozzle adjusts from pencil point to fan spray pattern and more Integrated shampoo mixer switch which also give you freedom to wash any area with soap or shampoo and then remove it without shampoo 8 different spray modes.</p>
<p><strong>? Multiple Uses</strong><br>Perfect for washing gutters, windows, house exteriors, cars, boats, sidewalks, steps, and sliding doors. Just attach to your hose with it</p>
<p> </p>
<p><strong>? 8 Function Spray</strong></p>
<p><strong>? Jet Spray:</strong> for removing dirt from vehicle or any area<br><strong>? Precision, Jet</strong>: Clean for removing accumulated dirt Angle,<br><strong>? Mist Spray</strong>: for watering plants,<br><strong>? Rain spray</strong>: to watering garden with large area,<br><strong>? Angled Fan Spray</strong>: for precise clean on areas which are hard to clean,<br><strong>? Horizontal Fan spray</strong>: for pressure car/bike or house floor cleaning,<br><strong>? Vertical spray:</strong> so that removing dirt from the windows can become easy for you,<br><strong>? Soaker spray</strong>: for casual and easy house cleaning. </p>",Garden,1635,1635_Ez_Jet_Water_Cannon,716,84,177,8201,18,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_cef225a4-a162-4f27-bbf2-e58db76da80a.jpg?v=1622733194,https://cdn.shopify.com/s/files/1/1916/9825/products/HTB1quRGJVXXXXcEXpXXq6xXFXXX1.jpg?v=1622733197,https://cdn.shopify.com/s/files/1/1916/9825/products/HTB1D8xKJVXXXXarXpXXq6xXFXXXm.jpg?v=1622733199,shopify,https://cdn.shopify.com/s/files/1/1916/9825/products/HTB1SaXDJVXXXXauXFXXq6xXFXXXh.jpg?v=1622733204,https://cdn.shopify.com/s/files/1/1916/9825/products/607fd3c015eb200bde5612f7-2-large.jpg?v=1622733206,https://cdn.shopify.com/s/files/1/1916/9825/products/6011e78a3edda274633e2999-4-large.jpg?v=1622733208,https://cdn.shopify.com/s/files/1/1916/9825/products/6011e78a3edda274633e2999-5-large.jpg?v=1622733210,https://cdn.shopify.com/s/files/1/1916/9825/products/607fd3c015eb200bde5612f7-5-large.jpg?v=1622733213,0,0,261,47,50,47,10,415,10,456,411,348
0599 Slotted Screw Driver Standard(multicolor),Slotted Screw Driver Standard(multicolor),"<ul class=""a-unordered-list a-vertical a-spacing-none"">
<li><span class=""a-list-item"">Material: Steel</span></li>
<li><span class=""a-list-item"">Bi-material soft grip handle providing excellent comfort</span></li>
<li><span class=""a-list-item"">Chrome-vanadium (Cr-V) blade for durability</span></li>
<li><span class=""a-list-item"">Three sided handle allowing more torque with anti-slip and anti-rolling features</span></li>
<li><span class=""a-list-item"">Various bits gives the tool the category of multipurpose tool and serves well  projects</span></li>
<li><span class=""a-list-item"">Multibit ratcheting SD with 10 bits</span></li>
</ul>",Power & Hand tools,0599,0599_4part_screwdriver,78,42,25,8205,18,https://cdn.shopify.com/s/files/1/1916/9825/products/0599.jpg?v=1619125628,https://cdn.shopify.com/s/files/1/1916/9825/products/1_cbb8561d-2552-4f4c-b588-193d3cf2073b.jpg?v=1618548787,https://cdn.shopify.com/s/files/1/1916/9825/products/2_ff11b01b-9071-40ba-8fc3-2739c78e9525.jpg?v=1618548787,shopify,https://cdn.shopify.com/s/files/1/1916/9825/products/1_c119e10e-9add-4e2e-8d89-aa9607a92602.jpg?v=1618548787,0,0,0,0,0,0,67,12,50,12,10,151,10,166,150,127
